;Unnamed: 0;Ja;En;Kunyomi;Onyomi;Frequency Rank;Cumulative Freq. Pct.;Frequency Pct.;JLPT Level;WK Level;Item Type;Tags
1333;1333;淡;thin,faint,pale,fleeting;あわい;たん;1294;99.46953348;0.00225971;N2;49;K;p4
1277;1277;荒;laid waste,rough,rude,wild;あらい;こう;1229;99.33451591;0.00282464;N2;42;K;p4
491;491;焦;char,hurry,impatient,irritate,burn,scorch,singe;こげる;しょう;490;91.52100964;0.02655157;N2;42;K;p4
1591;1591;裂;split,rend,tear;さく;れつ;1476;99.85876823;0.00112985;N2;43;K;p4
1213;1213;絞;strangle,constrict,wring;しぼる;こう;1184;99.14583027;0.00338956;N2;25;K;p4
210;210;深;deep,heighten,intensify,strengthen;ふかい;しん;210;77.55092818;0.09095326;N2;12;K;p4
1392;1392;威;intimidate,dignity,majesty,menace,threaten;おどす;い;1367;99.58760324;0.00169478;N2;43;K;p4
1682;1682;摩;chafe,rub,polish,grind,scrape;まする;ま;1627;99.92938412;0.00056493;N2;43;K;p4
1680;1680;搾;squeeze;しぼる;さく;1627;99.92825426;0.00056493;N2;25;K;p4
1138;1138;刺;thorn,pierce,stab,prick,sting,calling card;さす;し;1133;98.86675629999999;0.00395449;N2;28;K;p4
1049;1049;慰;consolation,amusement,seduce,cheer,make sport of,comfort,console;なぐさめる;い;1034;98.44984013;0.00508434;N2;43;K;p4
1004;1004;干;dry,parch,ebb,recede,interfere,intercede;ほす;かん;995;98.20522671;0.00564927;N2;17;K;p4
876;876;崩;crumble,die,demolish,level;くずれる;ほう;870;97.33297931;0.00790898;N2;39;K;p4
778;778;恨;regret,bear a grudge,resentment,malice,hatred;うらむ;こん;771;96.40988848;0.01073361;N2;49;K;p4
826;826;煮;boil,cook;にる;しゃ;814;96.89742054;0.00960376;N2;49;K;p4
1091;1091;堪;withstand,endure,support,resist;たえる;かん;1084;98.65829821;0.00451942;N2;48;K;p4
1587;1587;蚊;mosquito;か;ぶん;1476;99.85424882;0.00112985;N2;48;K;p4
296;296;失;lose,error,fault,disadvantage,loss;うしなう;しつ;297;83.75269753;0.05705763;N2;17;K;p4
824;824;殴;assault,hit,beat,thrash;なぐる;おう;814;96.87821302;0.00960376;N2;48;K;p4
1634;1634;傾;lean,incline,tilt,trend,wane,sink,ruin,bias;かたむく;けい;1627;99.90226762;0.00056493;N2;48;K;p4
776;776;巻;scroll,volume,book,part,roll up,wind up,tie,coil,counter for texts (or book scrolls);まく;かん;771;96.38842125;0.01073361;N2;25;K;p4
1540;1540;欧;Europe;うたう;おう;1476;99.80114567;0.00112985;N2;29;K;p4
1695;1695;枯;wither,die,dry up,be seasoned;かれる;こ;1627;99.93672817;0.00056493;N2;51;K;p4
1456;1456;蓄;amass,raise,hoard,store;たくわえる;ちく;1367;99.69606924;0.00169478;N2;26;K;p4
1754;1754;肯;agreement,consent,comply with;がえんじる;こう;1627;99.97005887;0.00056493;N2;51;K;p4
1270;1270;編;compilation,knit,plait,braid,twist,editing,completed poem,part of a book;あむ;へん;1229;99.31474347;0.00282464;N2;31;K;p4
999;999;呆;be amazed,disgusted,shocked;ほける;ほう;995;98.17698035;0.00564927;N2;56;K;p4
713;713;資;assets,resources,capital,funds,data,be conducive to,contribute to;;し;701;95.64610709;0.01299332;N2;21;K;p4
827;827;裁;tailor,judge,decision,cut out (pattern);たつ;さい;814;96.9070243;0.00960376;N2;56;K;p4
1272;1272;縫;sew,stitch,embroider;ぬう;ほう;1229;99.32039274;0.00282464;N2;56;K;p4
1095;1095;寿;longevity,congratulations,one's natural life;ことぶき;じゅ;1084;98.67637588;0.00451942;N2;35;K;p4
1158;1158;汁;soup,juice,broth,sap,gravy,pus;しる;じゅう;1133;98.94584609;0.00395449;N2;35;K;p4
1022;1022;給;salary,wage,gift,allow,grant,bestow on;たまう;きゅう;995;98.30691358;0.00564927;N2;27;K;p4
921;921;酢;vinegar,sour,acid,tart;す;さく;898;97.67476019;0.00734405;N2;35;K;p4
1026;1026;酸;acid,bitterness,sour,tart;すい;さん;995;98.32951066;0.00564927;N2;35;K;p4
1547;1547;液;fluid,liquid,juice,sap,secretion;;えき;1476;99.80905465;0.00112985;N2;35;K;p4
1068;1068;純;genuine,purity,innocence,net (profit);;じゅん;1034;98.54644265;0.00508434;N2;34;K;p4
780;780;派;faction,group,party,clique,sect,school;;は;771;96.43135571;0.01073361;N2;21;K;p4
1171;1171;膨;swell,get fat,thick;ふくらむ;ぼう;1133;98.99725445;0.00395449;N2;54;K;p4
771;771;冠;crown,best,peerless;かんむり;かん;771;96.33475318;0.01073361;N2;54;K;p4
958;958;争;contend,dispute,argue;あらそう;そう;958;97.92558781;0.0062142;N2;11;K;p4
329;329;悠;permanence,distant,long time,leisure;;ゆう;329;85.54182155;0.05140836;N2;54;K;p4
1230;1230;卸;wholesale;おろす;しゃ;1229;99.20175805;0.00282464;N2;54;K;p4
1019;1019;祝;celebrate,congratulate;いわう;しゅく;995;98.28996577;0.00564927;N2;24;K;p4
313;313;倒;overthrow,fall,collapse,drop,break down;たおれる;とう;314;84.69782051;0.05366807;N2;30;K;p4
1088;1088;吐;spit,vomit,belch,confess,tell (lies);はく;と;1084;98.64473996;0.00451942;N2;36;K;p4
1563;1563;算;calculate,divining,number,abacus,probability;そろ;さん;1476;99.82713232;0.00112985;N2;10;K;p4
1271;1271;縛;truss,arrest,bind,tie,restrain;しばる;ばく;1229;99.3175681;0.00282464;N2;56;K;p4
1569;1569;緯;"horizontal,woof,left &amp; right,(parallels of) latitude,prediction";よこいと;い;1476;99.83391144;0.00112985;N2;53;K;p4
1245;1245;採;pick,take,fetch,take up;とる;さい;1229;99.24412758;0.00282464;N2;32;K;p4
1793;1793;醜;ugly,unclean,shame,bad looking;みにくい;しゅう;1627;99.99209102;0.00056493;N2;60;K;p4
996;996;功;achievement,merits,success,honor,credit;いさお;こう;995;98.16003254;0.00564927;N2;32;K;p4
1190;1190;副;vice-,assistant,aide,duplicate,copy;;ふく;1184;99.06787034;0.00338956;N2;22;K;p4
905;905;憧;yearn after,long for,aspire to,admire,adore;あこがれる;しょう;898;97.55725536;0.00734405;N2;59;K;p4
666;666;敬;awe,respect,honor,revere;うやまう;けい;661;94.99813574;0.0146881;N2;33;K;p4
920;920;複;duplicate,double,compound,multiple;;ふく;898;97.66741614;0.00734405;N2;32;K;p4
1639;1639;凹;concave,hollow,sunken;くぼむ;おう;1627;99.90509225;0.00056493;N2;59;K;p4
1553;1553;熟;mellow,ripen,mature,acquire skill;うれる;じゅく;1476;99.81583378;0.00112985;N2;33;K;p4
1704;1704;殻;husk,nut shell;から;かく;1627;99.94181251;0.00056493;N2;58;K;p4
1141;1141;坊;boy,priest's residence,priest;;ぼう;1133;98.87861977;0.00395449;N2;22;K;p4
1799;1799;鎮;tranquilize,ancient peace-preservation centers;しずめる;ちん;1627;99.99548058;0.00056493;N2;57;K;p4
482;482;主;lord,chief,master,main thing,principal;ぬし;しゅ;483;91.27865593;0.0271165;N2;10;K;p4
1586;1586;蒸;steam,heat,sultry,foment,get musty;むす;じょう;1476;99.85311896;0.00112985;N2;33;K;p4
1651;1651;垂;droop,suspend,hang,slouch;たれる;すい;1627;99.91187138;0.00056493;N2;33;K;p4
1659;1659;宣;proclaim,say,announce;のたまう;せん;1627;99.91639079;0.00056493;N2;33;K;p4
