;Unnamed: 0;Ja;En;Reading;Frequency Rank;Cumulative Freq. Pct.;Frequency Pct.;JLPT Level;WK Level;Item Type;Tags
5700;5700;少雨;small amount of rainfall,(a) light rainfall;しょうう;4736;98.07804212;0.00066886;;-1;V;p4
5701;5701;就職;finding employment,getting a job;しゅうしょく;4736;98.07871098;0.00066886;N3;27;V;p4
5702;5702;居残り;working overtime;いのこり;4736;98.07937984;0.00066886;;-1;V;p4
5703;5703;届け;report,notification,registration;とどけ;4736;98.08004869;0.00066886;N1;-1;V;p4
5704;5704;届ける;to deliver,to forward,to send;とどける;4736;98.08071755;0.00066886;N4;26;V;p4
5705;5705;展開;development,evolution,progressing,unfolding,(plot) twist;てんかい;4736;98.0813864;0.00066886;N2;24;V;p4
5706;5706;履く;to put on (lower-body clothing, e.g. pants, skirt, footwear),to wear;はく;4736;98.08205526;0.00066886;N3;19;V;p4
5707;5707;島国;island country;しまぐに;4736;98.08272412;0.00066886;;-1;V;p4
5708;5708;崇高;lofty,sublime,noble;すうこう;4736;98.08339297;0.00066886;;59;V;p4
5709;5709;崩す;to destroy,to demolish,to pull down,to tear down,to level;くずす;4736;98.08406183;0.00066886;N2;37;V;p4
5710;5710;川辺;riverside,edge of a river;かわべ;4736;98.08473069;0.00066886;;-1;V;p4
5711;5711;工場;factory,plant,mill,workshop;こうじょう;4736;98.08539954;0.00066886;N4;8;V;p4
5712;5712;左様;so,like that;さよう;4736;98.0860684;0.00066886;;-1;V;p4
5713;5713;差し入れ;insertion,letter drop;さしいれ;4736;98.08673725;0.00066886;;-1;V;p4
5714;5714;差し出す;to present,to submit,to tender,to hold out;さしだす;4736;98.08740611;0.00066886;N1;-1;V;p4
5715;5715;巻;roll (e.g. of cloth);まき;4736;98.08807497;0.00066886;N1;-1;V;p4
5716;5716;幕切れ;fall of the curtain,last scene,end of act;まくぎれ;4736;98.08874382;0.00066886;;-1;V;p4
5717;5717;年上;older,senior;としうえ;4736;98.08941268;0.00066886;;6;V;p4
5718;5718;年頃;approximate age,apparent age;としごろ;4736;98.09008153;0.00066886;N1;45;V;p4
5719;5719;幸せ者;fortunate person,lucky fellow,lucky dog;しあわせもの;4736;98.09075039;0.00066886;;-1;V;p4
5720;5720;幹線道路;main road,main thoroughfare;かんせんどうろ;4736;98.09141925;0.00066886;;-1;V;p4
5721;5721;幼い;very young;おさない;4736;98.0920881;0.00066886;N3;28;V;p4
5722;5722;幼稚園;kindergarten;ようちえん;4736;98.09275696;0.00066886;N2;30;V;p4
5723;5723;幽霊;ghost,specter,spectre,apparition,phantom;ゆうれい;4736;98.09342581;0.00066886;N1;46;V;p4
5724;5724;広がる;to spread (out),to extend,to stretch,to reach to,to get around,to fill (e.g. a space);ひろがる;4736;98.09409467;0.00066886;N3;33;V;p4
