;Unnamed: 0;Ja;En;Reading;Frequency Rank;Cumulative Freq. Pct.;Frequency Pct.;JLPT Level;WK Level;Item Type;Tags
1125;1125;役;role,assignment,responsibility,duty,function,job,service;やく;1110;89.09430202;0.00668856;N3;8;V;p4
1126;1126;救出;rescue,extricate,reclaim,deliverance;きゅうしゅつ;1110;89.10099058;0.00668856;;-1;V;p4
1127;1127;明るい;light,well-lit,well-lighted;あかるい;1110;89.10767914;0.00668856;N1;6;V;p4
1128;1128;時々;sometimes,at times;ときどき;1110;89.1143677;0.00668856;N5;11;V;p4
1129;1129;本当は;Name;;1110;89.12105626;0.00668856;;-1;V;p4
1130;1130;氏;Mr,Mrs,Ms,Miss;し;1110;89.12774482;0.00668856;N3;7;V;p4
1131;1131;気分;feeling,mood;きぶん;1110;89.13443338;0.00668856;N4;4;V;p4
1132;1132;気味;sensation,feeling;きみ;1110;89.14112194;0.00668856;N3;-1;V;p4
1133;1133;涙;tear,tears,lachrymal secretion;なみだ;1110;89.14781049999999;0.00668856;N3;44;V;p4
1134;1134;状態;state,condition,situation,appearance,circumstances;じょうたい;1110;89.15449906;0.00668856;N3;22;V;p4
1135;1135;王子;prince;おうじ;1110;89.16118762;0.00668856;N3;2;V;p4
1136;1136;疎遠;estrangement,alienation,neglecting to stay in contact;そえん;1110;89.16787618;0.00668856;;54;V;p4
1137;1137;真犯人;the real criminal,true culprit;しんはんにん;1110;89.17456474;0.00668856;;-1;V;p4
1138;1138;真面目;serious,honest,sober,grave,earnest,steady;まじめ;1110;89.1812533;0.00668856;N3;-1;V;p4
1139;1139;第;prefix for forming ordinal numbers;だい;1110;89.18794186;0.00668856;N1;-1;V;p4
1140;1140;簡単;simple,easy,uncomplicated;かんたん;1110;89.19463042;0.00668856;N4;33;V;p4
1141;1141;組;set (of items);くみ;1110;89.20131898;0.00668856;N3;7;V;p4
1142;1142;胸;chest,breast;むね;1110;89.20800754;0.00668856;N3;18;V;p4
1143;1143;芽生え;bud,sprout;めばえ;1110;89.21469611;0.00668856;;-1;V;p4
1144;1144;英語;English (language);えいご;1110;89.22138467;0.00668856;N5;15;V;p4
1145;1145;言い出す;to begin to say,to start talking,to broach (a matter),to bring up,to come out with;いいだす;1110;89.22807323;0.00668856;N2;-1;V;p4
1146;1146;逆;reverse,opposite;ぎゃく;1110;89.23476179;0.00668856;N3;28;V;p4
1147;1147;運命;fate,destiny,lot;うんめい;1110;89.24145035;0.00668856;N1;11;V;p4
1148;1148;重要;important,momentous,essential,principal,major;じゅうよう;1110;89.24813891;0.00668856;N3;9;V;p4
1149;1149;長い間;long time,long interval,for quite some time;ながいあいだ;1110;89.25482747;0.00668856;;-1;V;p4
