;Unnamed: 0;Ja;En;Reading;Frequency Rank;Cumulative Freq. Pct.;Frequency Pct.;JLPT Level;WK Level;Item Type;Tags
2825;2825;突然;abrupt,sudden,unexpected;とつぜん;2574;94.9969567;0.00200657;N3;26;V;p4
2826;2826;精神;mind,spirit,soul,heart,ethos;せいしん;2574;94.99896327;0.00200657;N3;28;V;p4
2827;2827;素数;prime number;そすう;2574;95.00096984;0.00200657;;-1;V;p4
2828;2828;組む;to cross (legs or arms),to link (arms);くむ;2574;95.00297641;0.00200657;N3;-1;V;p4
2829;2829;緑色;green,emerald green,green color of new foliage,verdure;みどりいろ;2574;95.00498298;0.00200657;;13;V;p4
2830;2830;美しい;beautiful,pretty,lovely,sweet,pure (heart, friendship, etc.);うつくしい;2574;95.00698955;0.00200657;N4;9;V;p4
2831;2831;考え事;something to think about,one's thoughts,concern,worry;かんがえごと;2574;95.00899611;0.00200657;;-1;V;p4
2832;2832;耐える;to bear,to stand,to endure,to put up with;たえる;2574;95.01100268;0.00200657;N2;59;V;p4
2833;2833;耳;ear;みみ;2574;95.01300925;0.00200657;N5;4;V;p4
2834;2834;背中;back (of body);せなか;2574;95.01501582;0.00200657;N4;32;V;p4
2835;2835;自然;nature;しぜん;2574;95.01702239;0.00200657;N3;13;V;p4
2836;2836;興奮;excitement,stimulation,agitation,arousal;こうふん;2574;95.01902895;0.00200657;N1;50;V;p4
2837;2837;良さそう;looking good,sounding good,(of) good appearance;よさそう;2574;95.02103552;0.00200657;;-1;V;p4
2838;2838;虚ろ;cavity,hollow,void;うつろ;2574;95.02304209;0.00200657;N1;-1;V;p4
2839;2839;行為;act,deed,conduct;こうい;2574;95.02504866;0.00200657;N1;35;V;p4
2840;2840;街;town,block,neighbourhood,neighborhood;まち;2574;95.02705523;0.00200657;N3;4;V;p4
2841;2841;裁ける;to put to trial,to argue in court;さいばんにかける;2574;95.02906180000001;0.00200657;;-1;V;p4
2842;2842;要は;in short,the point is;ようは;2574;95.03106836;0.00200657;;-1;V;p4
2843;2843;見かける;to (happen to) see,to notice,to catch sight of;みかける;2574;95.03307493;0.00200657;N1;-1;V;p4
2844;2844;覚え;memory,sense,experience;おぼえ;2574;95.03508149999999;0.00200657;N1;-1;V;p4
2845;2845;親指;thumb;おやゆび;2574;95.03708807;0.00200657;N2;13;V;p4
2846;2846;記録;record,minutes,document;きろく;2574;95.03909464;0.00200657;N3;28;V;p4
2847;2847;許可;permission,approval,authorization,license;きょか;2574;95.0411012;0.00200657;N3;18;V;p4
2848;2848;語源;origin of a word,derivation of a word,etymology;ごげん;2574;95.04310777;0.00200657;N1;-1;V;p4
2849;2849;警告;warning,advice;けいこく;2574;95.04511434;0.00200657;N3;18;V;p4
