;Unnamed: 0;Ja;En;Reading;Frequency Rank;Cumulative Freq. Pct.;Frequency Pct.;JLPT Level;WK Level;Item Type;Tags
2775;2775;教師;teacher (classroom);きょうし;2574;94.89662829999999;0.00200657;N3;23;V;p4
2776;2776;教科;subject,curriculum;きょうか;2574;94.89863486;0.00200657;N1;-1;V;p4
2777;2777;整備;maintenance,servicing;せいび;2574;94.90064143;0.00200657;N2;-1;V;p4
2778;2778;敷く;to spread out,to lay out;しく;2574;94.902648;0.00200657;N2;40;V;p4
2779;2779;旦那;master (of a house, shop, etc.);だんな;2574;94.90465457;0.00200657;N1;55;V;p4
2780;2780;星;star (usu. not including the Sun),planet (usu. not including Earth),heavenly body;ほし;2574;94.90666114;0.00200657;N4;6;V;p4
2781;2781;昨夜;evening;ゆうべ;2574;94.90866771;0.00200657;N3;2;V;p4
2782;2782;是非;certainly,without fail;ぜひ;2574;94.91067427;0.00200657;N3;17;V;p4
2783;2783;昼間;daytime,during the day,time from sunrise until sunset,diurnal period;ひるま;2574;94.91268084;0.00200657;N4;-1;V;p4
2784;2784;時に;by the way,incidentally;ときに;2574;94.91468741;0.00200657;;-1;V;p4
2785;2785;普段;usual,normal,everyday,habitual,ordinary;ふだん;2574;94.91669398;0.00200657;N3;31;V;p4
2786;2786;景色;scenery,scene,landscape;けしき;2574;94.91870055;0.00200657;N4;25;V;p4
2787;2787;暁;dawn,daybreak;あかつき;2574;94.92070711;0.00200657;;58;V;p4
2788;2788;暮らす;to live,to get along;くらす;2574;94.92271368;0.00200657;N3;33;V;p4
2789;2789;最悪;worst;さいあく;2574;94.92472025;0.00200657;;12;V;p4
2790;2790;検査;inspection (e.g. customs, factory),examination,scan (e.g. MRI, PET, etc.);けんさ;2574;94.92672682;0.00200657;N3;23;V;p4
2791;2791;標高;elevation,height above sea level;ひょうこう;2574;94.92873339;0.00200657;;-1;V;p4
2792;2792;橘;tachibana orange (Citrus tachibana);たちばな;2574;94.93073996;0.00200657;;-1;V;p4
2793;2793;段々;gradually,by degrees,little by little,more and more,increasingly;だんだん;2574;94.93274652;0.00200657;N1;27;V;p4
2794;2794;気のせい;in one's imagination;きのせい;2574;94.93475309;0.00200657;;-1;V;p4
2795;2795;氷原;ice field,ice floe;ひょうげん;2574;94.93675966;0.00200657;;-1;V;p4
2796;2796;沈む;to sink,to go under,to submerge;しずむ;2574;94.93876623;0.00200657;N3;43;V;p4
2797;2797;洗う;to wash,to cleanse,to rinse;あらう;2574;94.9407728;0.00200657;N5;18;V;p4
2798;2798;活躍;activity (esp. energetic),great efforts,conspicuous service;かつやく;2574;94.94277936;0.00200657;N2;39;V;p4
2799;2799;浮かれる;to make merry,to be festive;うかれる;2574;94.94478593;0.00200657;;32;V;p4
