;Unnamed: 0;Ja;En;Reading;Frequency Rank;Cumulative Freq. Pct.;Frequency Pct.;JLPT Level;WK Level;Item Type;Tags
5525;5525;友愛;fraternity,friendship;ゆうあい;4736;97.96099231;0.00066886;;-1;V;p4
5526;5526;反す;to return (something),to restore,to put back;かえす;4736;97.96166117;0.00066886;N5;9;V;p4
5527;5527;反動;reaction,recoil,kick,backlash;はんどう;4736;97.96233003;0.00066886;;-1;V;p4
5528;5528;反撃;counterattack,counteroffensive,counterblow;はんげき;4736;97.96299888;0.00066886;N1;-1;V;p4
5529;5529;反映;reflection (light, image, situation, attitude, etc.),reflecting;はんえい;4736;97.96366774;0.00066886;N2;-1;V;p4
5530;5530;叔父;uncle;おじ;4736;97.9643366;0.00066886;;59;V;p4
5531;5531;取り;taking,taker,collecting,collector,remover,removal;とり;4736;97.96500545;0.00066886;;-1;V;p4
5532;5532;取り戻せる;Name;;4736;97.96567431;0.00066886;;-1;V;p4
5533;5533;受付;reception (desk),information desk;うけつけ;4736;97.96634316;0.00066886;N4;11;V;p4
5534;5534;受験生;student preparing for or taking examinations (usu. entrance exams),test-taker;じゅけんせい;4736;97.96701202;0.00066886;;-1;V;p4
5535;5535;口ごもる;to hesitate to say,to mumble,to hem and haw,to falter;くちごもる;4736;97.96768088;0.00066886;;-1;V;p4
5536;5536;口説く;to persuade,to coax,to solicit;くどく;4736;97.96834973;0.00066886;;-1;V;p4
5537;5537;口走る;to blurt out,to let slip,to say inadvertently,to come out with (e.g. nonsense);くちばしる;4736;97.96901859;0.00066886;;-1;V;p4
5538;5538;古代;ancient times;こだい;4736;97.96968744;0.00066886;N1;-1;V;p4
5539;5539;叩く;to strike,to clap,to knock,to beat,to tap,to pat;たたく;4736;97.97035629999999;0.00066886;N3;-1;V;p4
5540;5540;只今;Here I am,I'm home!;ただいま;4736;97.97102516;0.00066886;;-1;V;p4
5541;5541;可愛げ;charm (e.g. of an innocent child),lovable nature;かわいげ;4736;97.97169401;0.00066886;;-1;V;p4
5542;5542;可愛らしい;lovely,sweet;かわいらしい;4736;97.97236287;0.00066886;N3;-1;V;p4
5543;5543;台本;script,libretto,scenario;だいほん;4736;97.97303172;0.00066886;N1;-1;V;p4
5544;5544;台無し;mess,spoiled,spoilt,(come to) nothing,ruin;だいなし;4736;97.97370058;0.00066886;N1;-1;V;p4
5545;5545;右;right,right-hand side;みぎ;4736;97.97436944;0.00066886;N5;2;V;p4
5546;5546;右手;right hand;みぎて;4736;97.97503829;0.00066886;;4;V;p4
5547;5547;司る;to rule,to govern,to administer;つかさどる;4736;97.97570715;0.00066886;N1;-1;V;p4
5548;5548;合格祈願;prayer for school success;ごうかくきがん;4736;97.976376;0.00066886;;-1;V;p4
5549;5549;同じよう;similar;おなじよう;4736;97.97704486;0.00066886;;-1;V;p4
