;Unnamed: 0;Ja;En;Reading;Frequency Rank;Cumulative Freq. Pct.;Frequency Pct.;JLPT Level;WK Level;Item Type;Tags
6575;6575;いけず;unkind,mean;いけず;6483;98.63185494;0.00033443;;-1;V;p4
6576;6576;イケメン;good-looking guy,handsome man,hunk,Adonis,cool guy;イケめん;6483;98.63218937;0.00033443;;-1;V;p4
6577;6577;いさむ;to be in high spirits,to be encouraged,to be lively,to cheer up;いさむ;6483;98.63252379;0.00033443;;17;V;p4
6578;6578;いじめ;bullying,teasing;いじめ;6483;98.63285822;0.00033443;;-1;V;p4
6579;6579;いす;chair,stool;いす;6483;98.63319265;0.00033443;N3;46;V;p4
6580;6580;いする;to cure,to heal;いする;6483;98.63352708;0.00033443;;-1;V;p4
6581;6581;いそ;(rocky) beach,seashore;いそ;6483;98.63386151;0.00033443;;-1;V;p4
6582;6582;イタチごっこ;going round in circles,game of cat and mouse,pointless and repetitive back-and-forth;いたちごっこ;6483;98.63419593;0.00033443;;-1;V;p4
6583;6583;イタリア;Italy;イタリア;6483;98.63453036;0.00033443;;-1;V;p4
6584;6584;いづ;to leave,to exit,to go out,to come out,to get out;いず;6483;98.63486479;0.00033443;;-1;V;p4
6585;6585;いっかな;what kind of,whatever sort of;いかな;6483;98.63519922;0.00033443;;-1;V;p4
6586;6586;いつの間に;when,at what point;いつのまに;6483;98.63553365;0.00033443;;-1;V;p4
6587;6587;いてる;to freeze,to freeze over;いてる;6483;98.63586807;0.00033443;;-1;V;p4
6588;6588;いとこ;cousin (male);いとこ;6483;98.6362025;0.00033443;N3;28;V;p4
6589;6589;イナカ;rural area,countryside,the sticks;いなか;6483;98.63653693;0.00033443;N4;35;V;p4
6590;6590;いなむ;to refuse,to decline;いなむ;6483;98.63687136;0.00033443;;-1;V;p4
6591;6591;いのち;life,life force;いのち;6483;98.63720579;0.00033443;N3;11;V;p4
6592;6592;いびき;snoring,snore;いびき;6483;98.63754021;0.00033443;N1;-1;V;p4
6593;6593;いぶかしい;suspicious,doubtful;いぶかしい;6483;98.63787464;0.00033443;;-1;V;p4
6594;6594;いまさら;now (after such a long time),at this late hour (i.e. it is too late for something),at this point of time;いまさら;6483;98.63820907;0.00033443;N1;32;V;p4
6595;6595;いやあ;why,oh;いや;6483;98.63854350000001;0.00033443;;-1;V;p4
6596;6596;イヤー;ear;イヤ;6483;98.63887793;0.00033443;;-1;V;p4
6597;6597;イリュージョン;illusion;イリュージョン;6483;98.63921236;0.00033443;;-1;V;p4
6598;6598;いるか;dolphin (or other small toothed whales, such as porpoises, belugas, etc.);いるか;6483;98.63954678;0.00033443;;-1;V;p4
6599;6599;いわば;so to speak,so to call it,as it were;いわば;6483;98.63988121;0.00033443;N3;-1;V;p4
