;Unnamed: 0;Ja;En;Kunyomi;Onyomi;Frequency Rank;Cumulative Freq. Pct.;Frequency Pct.;JLPT Level;WK Level;Item Type;Tags
764;764;簡;simplicity,brevity;えらぶ;かん;753;96.25679325;0.01129854;N4;33;K;p4
1553;1553;熟;mellow,ripen,mature,acquire skill;うれる;じゅく;1476;99.81583378;0.00112985;N2;33;K;p4
1314;1314;忠;loyalty,fidelity,faithfulness;;ちゅう;1294;99.42659903;0.00225971;N1;33;K;p4
686;686;筋;muscle,sinew,tendon,fiber,plot,plan,descent;すじ;きん;679;95.28681347;0.01412318;N3;33;K;p4
754;754;否;negate,no,noes,refuse,decline,deny;いな;ひ;753;96.14380783;0.01129854;N5;33;K;p4
229;229;諸;various,many,several,together;もろ;しょ;228;79.16210017;0.08021964;N1;33;K;p4
1718;1718;灰;ashes,puckery juice,cremate;はい;かい;1627;99.94972149;0.00056493;N3;33;K;p4
1673;1673;拡;broaden,extend,expand,enlarge;ひろがる;かく;1627;99.92429977;0.00056493;N3;33;K;p4
1065;1065;砂;sand;すな;さ;1034;98.53118962;0.00508434;N4;33;K;p4
1416;1416;操;maneuver,manipulate,operate,steer,chastity,virginity,fidelity;みさお;そう;1367;99.62827799;0.00169478;N3;33;K;p4
1576;1576;肺;lungs;;はい;1476;99.84182042;0.00112985;N1;33;K;p4
1586;1586;蒸;steam,heat,sultry,foment,get musty;むす;じょう;1476;99.85311896;0.00112985;N2;33;K;p4
1543;1543;沙;sand;すな;さ;1476;99.80453523;0.00112985;N4;33;K;p4
1651;1651;垂;droop,suspend,hang,slouch;たれる;すい;1627;99.91187138;0.00056493;N2;33;K;p4
1659;1659;宣;proclaim,say,announce;のたまう;せん;1627;99.91639079;0.00056493;N2;33;K;p4
596;596;裏;back,amidst,in,reverse,inside,palm,sole,rear,lining,wrong side;うら;り;589;93.84681438;0.01864259;N4;33;K;p4
429;429;冷;cool,cold (beer,chill;つめたい;れい;430;89.65562046;0.0333307;N5;33;K;p4
806;806;装;attire,dress,pretend,disguise,profess;よそおう;そう;793;96.70195578;0.01016869;N3;33;K;p4
1263;1263;窓;window,pane;まど;そう;1229;99.29497102;0.00282464;N5;33;K;p4
751;751;閉;closed,shut;とじる;へい;736;96.10991221;0.01186347;N5;33;K;p4
914;914;源;source,origin;みなもと;げん;898;97.62335183;0.00734405;N1;34;K;p4
919;919;薦;recommend,mat,advise,encourage,offer;すすめる;せん;898;97.66007208;0.00734405;N3;34;K;p4
1033;1033;丼;bowl,bowl of food;どんぶり;とん;1034;98.36849063;0.00508434;N2;34;K;p4
131;131;通;traffic,pass through,avenue,commute,counter for letters;とおる;つう;132;68.08839979;0.1502706;N2;34;K;p4
1487;1487;勧;persuade,recommend,advise,encourage,offer;すすめる;かん;1476;99.74126340000001;0.00112985;N3;34;K;p4
1544;1544;沿;run alongside,follow along,run along,lie along;そう;えん;1476;99.80566509;0.00112985;N1;34;K;p4
445;445;害;harm,injury;;がい;446;90.17874292;0.03163592;N1;34;K;p4
1451;1451;縮;shrink,contract,shrivel,wrinkle,reduce;ちぢむ;しゅく;1367;99.68759533;0.00169478;N2;34;K;p4
500;500;腐;rot,decay,sour;くさる;ふ;497;91.75262974;0.02542172;N1;34;K;p4
1273;1273;聖;holy,saint,sage,master,priest;ひじり;せい;1229;99.32321737;0.00282464;N1;34;K;p4
1068;1068;純;genuine,purity,innocence,net (profit);;じゅん;1034;98.54644265;0.00508434;N2;34;K;p4
607;607;経;sutra,longitude,pass thru,expire,warp;へる;けい;599;94.04623363;0.01807767;N5;34;K;p4
604;604;染;dye,color,paint,stain,print;そめる;せん;599;93.99200063;0.01807767;N1;34;K;p4
559;559;豆;beans,pea,midget;まめ;とう;555;93.12088309;0.02146723;N3;34;K;p4
1239;1239;幕;curtain,bunting,act of play;とばり;まく;1229;99.22717977;0.00282464;N3;34;K;p4
1101;1101;損;damage,loss,disadvantage,hurt,injure;そこなう;そん;1084;98.70349238;0.00451942;N3;34;K;p4
226;226;貴;precious,value,prize,esteem,honor;たっとい;き;227;78.92144124000002;0.08078457;N1;34;K;p4
1323;1323;拝;worship,adore,pray to;おがむ;はい;1294;99.44693640000001;0.00225971;N4;34;K;p4
8;8;枝;bough,branch,twig,limb,counter for branches;えだ;し;9;15.40556114;1.33492266;N4;34;K;p4
1267;1267;粋;chic,style,purity,essence,pith,cream,elite,choice;いき;すい;1229;99.30626956;0.00282464;N1;34;K;p4
584;584;推;conjecture,infer,guess,suppose,support,push (for);おす;すい;582;93.62140848;0.01920752;N3;34;K;p4
1078;1078;酔;drunk,feel sick,poisoned,elated,spellbound;よう;すい;1034;98.59728609;0.00508434;N3;35;K;p4
950;950;講;lecture,club,association;;こう;925;97.87248466;0.00677912;N4;35;K;p4
1016;1016;眩;faint,dizzy;げんす;げん;995;98.27301795;0.00564927;N4;35;K;p4
1336;1336;滞;stagnate,be delayed,overdue,arrears;とどこおる;たい;1294;99.47631261;0.00225971;N1;35;K;p4
843;843;油;oil,fat;あぶら;ゆ;832;97.05334041;0.00903883;N3;35;K;p4
1;1;介;jammed in,shellfish,mediate,concern oneself with;;かい;2;4.28214717;1.87047352;N1;35;K;p4
591;591;暮;evening,twilight,season's end,livelihood,make a living,spend time;くれる;ぼ;589;93.75360141;0.01864259;N4;35;K;p4
1095;1095;寿;longevity,congratulations,one's natural life;ことぶき;じゅ;1084;98.67637588;0.00451942;N2;35;K;p4
300;300;彼;he,that,the;かれ;ひ;300;83.97979821;0.05649271;N4;35;K;p4
728;728;紹;introduce,inherit,help;;しょう;717;95.83366287;0.0124284;N4;35;K;p4
1158;1158;汁;soup,juice,broth,sap,gravy,pus;しる;じゅう;1133;98.94584609;0.00395449;N2;35;K;p4
1286;1286;鍋;pot,pan,kettle;なべ;か;1229;99.35993763;0.00282464;N3;35;K;p4
1284;1284;醤;a kind of miso;ひしお;しょう;1229;99.35428836;0.00282464;N5;35;K;p4
1299;1299;厄;unlucky,misfortune,bad luck,disaster;;やく;1294;99.39270340000002;0.00225971;N3;35;K;p4
921;921;酢;vinegar,sour,acid,tart;す;さく;898;97.67476019;0.00734405;N2;35;K;p4
1784;1784;辱;embarrass,humiliate,shame;はずかしめる;じょく;1627;99.98700668;0.00056493;N1;35;K;p4
1026;1026;酸;acid,bitterness,sour,tart;すい;さん;995;98.32951066;0.00564927;N2;35;K;p4
1163;1163;炎;inflammation,flame,blaze;ほのお;えん;1133;98.96561854;0.00395449;N3;35;K;p4
906;906;払;pay,clear out,prune,banish,dispose of;はらう;ふつ;898;97.56459941;0.00734405;N4;35;K;p4
273;273;恥;shame,dishonor;はじる;ち;274;82.36410679;0.06383676;N1;35;K;p4
1547;1547;液;fluid,liquid,juice,sap,secretion;;えき;1476;99.80905465;0.00112985;N2;35;K;p4
804;804;納;settlement,obtain,reap,pay,supply,store;おさめる;のう;793;96.6816184;0.01016869;N3;35;K;p4
994;994;互;mutually,reciprocally,together;たがい;ご;995;98.14873399999999;0.00564927;N3;35;K;p4
