;Unnamed: 0;Ja;En;Kunyomi;Onyomi;Frequency Rank;Cumulative Freq. Pct.;Frequency Pct.;JLPT Level;WK Level;Item Type;Tags
625;625;清;pure,purify,cleanse,exorcise,Manchu dynasty;きよい;せい;622;94.35976815;0.01694781;N3;28;K;p4
626;626;科;department,course,section;;か;622;94.37671597;0.01694781;N3;16;K;p4
627;627;邪;wicked,injustice,wrong;よこしま;じゃ;622;94.39366378;0.01694781;N3;50;K;p4
628;628;側;side,lean,oppose,regret;かわ;そく;629;94.41004666;0.01638288;N5;17;K;p4
629;629;再;again,twice,second time;ふたたび;さい;629;94.42642955;0.01638288;N5;26;K;p4
630;630;悩;trouble,worry,in pain,distress,illness;なやむ;のう;629;94.44281243;0.01638288;N3;27;K;p4
631;631;根;root,radical,head (pimple);ね;こん;629;94.45919532;0.01638288;N3;12;K;p4
632;632;盗;steal,rob,pilfer;ぬすむ;とう;629;94.4755782;0.01638288;N4;30;K;p4
633;633;薬;medicine,chemical,enamel,gunpowder,benefit;くすり;やく;629;94.49196109;0.01638288;N5;17;K;p4
634;634;魚;fish;うお;ぎょ;629;94.50834397;0.01638288;N5;7;K;p4
635;635;冗;superfluous,uselessness;;じょう;636;94.52416193;0.01581796;N3;16;K;p4
636;636;協;co-,cooperation;;きょう;636;94.53997989;0.01581796;N3;11;K;p4
637;637;基;fundamentals,radical (chem),counter for machines,foundation;もと;き;636;94.55579785;0.01581796;N3;3;K;p4
638;638;席;seat,mat,occasion,place;むしろ;せき;636;94.57161579999999;0.01581796;N4;17;K;p4
639;639;懸;state of suspension,hang,depend,consult,distant,far apart;かける;けん;636;94.58743376;0.01581796;N5;25;K;p4
640;640;拐;kidnap,falsify;;かい;636;94.60325172;0.01581796;;-1;K;p4
641;641;散;scatter,disperse,spend,squander;ちる;さん;636;94.61906968;0.01581796;N5;31;K;p4
642;642;第;No.,residence;;だい;636;94.63488764;0.01581796;N1;51;K;p4
643;643;粉;flour,powder,dust;デシメートル;ふん;636;94.65070559;0.01581796;N3;31;K;p4
644;644;飯;meal,boiled rice;めし;はん;636;94.66652355;0.01581796;N3;15;K;p4
645;645;健;healthy,health,strength,persistence;すこやか;けん;646;94.68177658;0.01525303;N3;27;K;p4
646;646;働;work,(kokuji);はたらく;どう;646;94.69702961;0.01525303;N5;11;K;p4
647;647;勘;intuition,perception,check,compare,sixth sense;;かん;646;94.71228264;0.01525303;N3;49;K;p4
648;648;史;history,chronicle;;し;646;94.72753568;0.01525303;;-1;K;p4
649;649;士;gentleman,scholar,samurai,samurai radical (no. 33);さむらい;し;646;94.74278871;0.01525303;N1;44;K;p4
