;Unnamed: 0;Ja;En;Reading;Frequency Rank;Cumulative Freq. Pct.;Frequency Pct.;JLPT Level;WK Level;Item Type;Tags
2827;2827;素数;prime number;そすう;2574;95.00096984;0.00200657;;-1;V;p4
2828;2828;組む;to cross (legs or arms),to link (arms);くむ;2574;95.00297641;0.00200657;N3;-1;V;p4
2829;2829;緑色;green,emerald green,green color of new foliage,verdure;みどりいろ;2574;95.00498298;0.00200657;;13;V;p4
2830;2830;美しい;beautiful,pretty,lovely,sweet,pure (heart, friendship, etc.);うつくしい;2574;95.00698955;0.00200657;N4;9;V;p4
2831;2831;考え事;something to think about,one's thoughts,concern,worry;かんがえごと;2574;95.00899611;0.00200657;;-1;V;p4
2832;2832;耐える;to bear,to stand,to endure,to put up with;たえる;2574;95.01100268;0.00200657;N2;59;V;p4
2833;2833;耳;ear;みみ;2574;95.01300925;0.00200657;N5;4;V;p4
2834;2834;背中;back (of body);せなか;2574;95.01501582;0.00200657;N4;32;V;p4
2835;2835;自然;nature;しぜん;2574;95.01702239;0.00200657;N3;13;V;p4
2836;2836;興奮;excitement,stimulation,agitation,arousal;こうふん;2574;95.01902895;0.00200657;N1;50;V;p4
2837;2837;良さそう;looking good,sounding good,(of) good appearance;よさそう;2574;95.02103552;0.00200657;;-1;V;p4
2838;2838;虚ろ;cavity,hollow,void;うつろ;2574;95.02304209;0.00200657;N1;-1;V;p4
2839;2839;行為;act,deed,conduct;こうい;2574;95.02504866;0.00200657;N1;35;V;p4
2840;2840;街;town,block,neighbourhood,neighborhood;まち;2574;95.02705523;0.00200657;N3;4;V;p4
2841;2841;裁ける;to put to trial,to argue in court;さいばんにかける;2574;95.02906180000001;0.00200657;;-1;V;p4
2842;2842;要は;in short,the point is;ようは;2574;95.03106836;0.00200657;;-1;V;p4
2843;2843;見かける;to (happen to) see,to notice,to catch sight of;みかける;2574;95.03307493;0.00200657;N1;-1;V;p4
2844;2844;覚え;memory,sense,experience;おぼえ;2574;95.03508149999999;0.00200657;N1;-1;V;p4
2845;2845;親指;thumb;おやゆび;2574;95.03708807;0.00200657;N2;13;V;p4
2846;2846;記録;record,minutes,document;きろく;2574;95.03909464;0.00200657;N3;28;V;p4
2847;2847;許可;permission,approval,authorization,license;きょか;2574;95.0411012;0.00200657;N3;18;V;p4
2848;2848;語源;origin of a word,derivation of a word,etymology;ごげん;2574;95.04310777;0.00200657;N1;-1;V;p4
2849;2849;警告;warning,advice;けいこく;2574;95.04511434;0.00200657;N3;18;V;p4
2850;2850;警護;bodyguard,escort;けいご;2574;95.04712091;0.00200657;;-1;V;p4
2851;2851;豚;pig (Sus scrofa domesticus);ぶた;2574;95.04912748;0.00200657;;26;V;p4
2852;2852;負け;defeat,loss,losing (a game);まけ;2574;95.05113405;0.00200657;N3;-1;V;p4
2853;2853;貯める;to save up (money);ためる;2574;95.05314061;0.00200657;;-1;V;p4
2854;2854;買い食い;buying (and immediately consuming) sweets;かいぐい;2574;95.05514718;0.00200657;;-1;V;p4
2855;2855;資料集;document collection;しりょうしゅう;2574;95.05715375;0.00200657;;-1;V;p4
2856;2856;走り去る;to run away,to run off;はしりさる;2574;95.05916032;0.00200657;;-1;V;p4
2857;2857;跡;trace,tracks,mark,sign;あと;2574;95.06116689;0.00200657;N3;37;V;p4
2858;2858;蹴る;to kick;ける;2574;95.06317345;0.00200657;N2;-1;V;p4
2859;2859;転校;changing schools;てんこう;2574;95.06518002;0.00200657;N1;-1;V;p4
2860;2860;辞退;declining,refusal,nonacceptance,turning down,withdrawal (e.g. of candidacy),pulling out (e.g. of a race),excusing oneself;じたい;2574;95.06718659;0.00200657;N1;-1;V;p4
2861;2861;辿る;to follow (road),to pursue (course),to follow up,to follow (hyperlink);たどる;2574;95.06919316;0.00200657;N1;-1;V;p4
2862;2862;退屈;tedium,boredom,dullness;たいくつ;2574;95.07119973;0.00200657;N3;27;V;p4
2863;2863;逆さ;inverted,upside down,reversed,back to front;さかさ;2574;95.0732063;0.00200657;N2;-1;V;p4
2864;2864;連れて;as,in proportion to;つれて;2574;95.07521286;0.00200657;;-1;V;p4
2865;2865;遅刻;lateness,late coming;ちこく;2574;95.07721943;0.00200657;N3;35;V;p4
2866;2866;運;fortune,luck;うん;2574;95.079226;0.00200657;N3;12;V;p4
2867;2867;運動;exercise,physical training,work-out;うんどう;2574;95.08123257;0.00200657;N3;12;V;p4
2868;2868;過ぎ;past,after;すぎ;2574;95.08323914;0.00200657;N1;24;V;p4
2869;2869;違和感;uncomfortable feeling,feeling out of place,sense of discomfort;いわかん;2574;95.0852457;0.00200657;;-1;V;p4
2870;2870;間もなく;soon,shortly,before long,in a short time,in a little while;まもなく;2574;95.08725227;0.00200657;N2;8;V;p4
2871;2871;間違いなく;clearly,unmistakably,certainly,without a doubt;まちがいなく;2574;95.08925884;0.00200657;;-1;V;p4
2872;2872;雫;drop (e.g. of water),drip;しずく;2574;95.09126541;0.00200657;N1;-1;V;p4
2873;2873;青い;blue,azure;あおい;2574;95.09327198;0.00200657;N5;5;V;p4
2874;2874;頼れる;Name;;2574;95.09527855;0.00200657;;-1;V;p4
2875;2875;顔色;complexion,one's colour,one's color;かおいろ;2574;95.09728511;0.00200657;;-1;V;p4
2876;2876;魂;soul,spirit;たましい;2574;95.09929168;0.00200657;;45;V;p4
2877;2877;鮮明;vivid,clear,distinct;せんめい;2574;95.10129825;0.00200657;;-1;V;p4
2878;2878;１０月;October;じゅうがつ;2879;95.10297039;0.00167214;;2;V;p4
2879;2879;２つ;two;ふたつ;2879;95.10464253;0.00167214;N5;1;V;p4
2880;2880;３つ;three;みっつ;2879;95.10631467;0.00167214;N5;1;V;p4
2881;2881;３月;March;さんがつ;2879;95.10798681;0.00167214;;-1;V;p4
2882;2882;５月;May;ごがつ;2879;95.10965895;0.00167214;;2;V;p4
2883;2883;７つ;seven;ななつ;2879;95.11133109;0.00167214;N5;1;V;p4
2884;2884;あったかい;warm,mild,(pleasantly) hot;あたたかい;2879;95.11300323;0.00167214;N3;32;V;p4
2885;2885;アテ;unreliable,undependable,untrustworthy,not to be counted on;あてにならない;2879;95.11467537;0.00167214;;-1;V;p4
2886;2886;アドレス;address;アドレス;2879;95.11634751;0.00167214;;-1;V;p4
2887;2887;アナウンサー;announcer,presenter,broadcaster,reporter;アナウンサー;2879;95.11801965;0.00167214;N4;-1;V;p4
2888;2888;アハハ;a-ha-ha (laughing loudly);あはは;2879;95.11969179;0.00167214;;-1;V;p4
2889;2889;アピール;appeal (e.g. to public opinion),plea,request;アピール;2879;95.12136393;0.00167214;;-1;V;p4
2890;2890;アルゼンチン;Argentina;アルゼンチン;2879;95.12303607;0.00167214;;-1;V;p4
2891;2891;ある程度;to some extent,to a certain extent;あるていど;2879;95.12470821;0.00167214;;-1;V;p4
2892;2892;あれだけ;to that extent,to that degree,that much,that many;あれだけ;2879;95.12638035;0.00167214;;-1;V;p4
2893;2893;アンテナ;antenna;アンテナ;2879;95.12805249;0.00167214;N2;-1;V;p4
2894;2894;いいところ;good thing,strong point;いいとこ;2879;95.12972463;0.00167214;;-1;V;p4
2895;2895;イカ;cuttlefish,squid;いか;2879;95.13139677;0.00167214;;57;V;p4
2896;2896;いくつ;how many?;いくつ;2879;95.13306891;0.00167214;N3;31;V;p4
2897;2897;イタズラ;mischief,prank,trick,practical joke;いたずら;2879;95.13474105;0.00167214;N3;60;V;p4
2898;2898;いたむ;to hurt,to ache,to feel a pain;いたむ;2879;95.13641319;0.00167214;N1;34;V;p4
2899;2899;いっそ;rather,sooner,preferably;いっそ;2879;95.13808533;0.00167214;N1;-1;V;p4
2900;2900;イメージ;(one's) image,impression,mental image,(mental) picture,view;イメージ;2879;95.13975747;0.00167214;;-1;V;p4
2901;2901;いやぁ;Name;;2879;95.14142961;0.00167214;;-1;V;p4
2902;2902;いよ;Iyo (former province located in present-day Ehime Prefecture);いよ;2879;95.14310175;0.00167214;;-1;V;p4
2903;2903;えむ;M,m;エム;2879;95.14477389;0.00167214;;-1;V;p4
2904;2904;エリザベス;Elizabeth (film);;2879;95.14644603;0.00167214;;-1;V;p4
2905;2905;おごり;luxury,extravagance;おごり;2879;95.14811817;0.00167214;;-1;V;p4
2906;2906;おこる;to get angry,to get mad;おこる;2879;95.14979031;0.00167214;N4;27;V;p4
2907;2907;おまえ;you;おまえ;2879;95.15146245;0.00167214;N3;8;V;p4
2908;2908;お出かけ;about to start out,just about to leave or go out;おでかけ;2879;95.15313459;0.00167214;N2;-1;V;p4
2909;2909;お好み;choice,preference;おこのみ;2879;95.15480673;0.00167214;;-1;V;p4
2910;2910;お婆ちゃん;granny,grandma,gran,female senior-citizen;おばあちゃん;2879;95.15647887;0.00167214;;49;V;p4
2911;2911;お客;guest,visitor;おきゃくさま;2879;95.15815101;0.00167214;;-1;V;p4
2912;2912;お祝い;congratulation,congratulations,celebration,festival,congratulatory gift;おいわい;2879;95.15982315;0.00167214;N4;26;V;p4
2913;2913;お越し;coming,going;おこし;2879;95.16149529;0.00167214;;-1;V;p4
2914;2914;かお;face,visage;かお;2879;95.16316743;0.00167214;;10;V;p4
2915;2915;かし;confectionery,sweets,candy,cake;かし;2879;95.16483957;0.00167214;N3;-1;V;p4
2916;2916;カッ;brackets,parentheses;かっこ;2879;95.16651172;0.00167214;N2;42;V;p4
2917;2917;ガッツリ;firmly,plentifully,with all one's might;がっつり;2879;95.16818386;0.00167214;;-1;V;p4
2918;2918;かばう;to protect (someone),to look after (e.g. an injured leg),to defend,to cover for,to stand up for,to stick up for;かばう;2879;95.16985600000001;0.00167214;;-1;V;p4
2919;2919;かぶる;to put on (one's head),to wear,to have on,to pull over (one's head),to crown (oneself);かぶる;2879;95.17152814;0.00167214;N3;20;V;p4
2920;2920;からかう;to ridicule,to tease,to mock,to chaff,to razz,to banter with,to make fun of,to poke fun at,to make cracks about;からかう;2879;95.17320028;0.00167214;N2;-1;V;p4
2921;2921;カン;can,tin;かん;2879;95.17487242;0.00167214;N3;44;V;p4
2922;2922;かんな;plane (for working with wood);かんな;2879;95.17654456;0.00167214;;-1;V;p4
2923;2923;キリスト;Christ;キリスト;2879;95.17821670000001;0.00167214;;-1;V;p4
2924;2924;くし;comb;くし;2879;95.17988884;0.00167214;N2;-1;V;p4
2925;2925;ぐずぐず;slowly,tardily,dawdling,lingering,hesitantly;ぐずぐず;2879;95.18156098;0.00167214;;-1;V;p4
2926;2926;グッ;soundly (sleeping),fast (asleep);ぐっすり;2879;95.18323312;0.00167214;N3;-1;V;p4
2927;2927;けい;penalty,sentence,punishment;けい;2879;95.18490526;0.00167214;N1;-1;V;p4
2928;2928;コーン;cone;コーン;2879;95.1865774;0.00167214;;-1;V;p4
2929;2929;こぎつける;to row (a boat) to (a pier, shore, etc.);こぎつける;2879;95.18824954;0.00167214;;-1;V;p4
2930;2930;こす;to cross over (e.g. mountain),to go across;こす;2879;95.18992168;0.00167214;N3;38;V;p4
2931;2931;コト;superb lyrebird (Menura novaehollandiae);ことどり;2879;95.19159382;0.00167214;;-1;V;p4
2932;2932;ことわざ;proverb,saying,aphorism,maxim;ことわざ;2879;95.19326596;0.00167214;N3;-1;V;p4
2933;2933;この世;this world,world of the living;このよ;2879;95.19493809999999;0.00167214;;-1;V;p4
2934;2934;ゴミ;rubbish,trash,garbage,refuse;ごみ;2879;95.19661024;0.00167214;N3;-1;V;p4
2935;2935;コメント;comment;コメント;2879;95.19828238;0.00167214;N1;-1;V;p4
2936;2936;こわい;scary,frightening,eerie,dreadful;こわい;2879;95.19995452;0.00167214;N4;31;V;p4
2937;2937;コン;Gong,Khong,Conn;コン;2879;95.20162666;0.00167214;;-1;V;p4
2938;2938;こん;navy blue,deep blue;こん;2879;95.2032988;0.00167214;N2;57;V;p4
2939;2939;ご注意;caution,being careful,attention (heed),warning,advice;ごちゅうい;2879;95.20497094;0.00167214;;-1;V;p4
2940;2940;ご覧;(please) try to;ごらん;2879;95.20664308;0.00167214;N2;30;V;p4
2941;2941;さっぱり;feeling refreshed,feeling relieved;さっぱり;2879;95.20831522;0.00167214;N3;-1;V;p4
2942;2942;さてと;Name;;2879;95.20998736;0.00167214;;-1;V;p4
2943;2943;さむい;cold (e.g. weather);さむい;2879;95.2116595;0.00167214;N5;12;V;p4
2944;2944;じき;time,season,period,phase,stage;じき;2879;95.21333164;0.00167214;N3;12;V;p4
2945;2945;ジャージ;jersey;ジャージー;2879;95.21500378;0.00167214;;-1;V;p4
2946;2946;ジュース;juice;ジュース;2879;95.21667592;0.00167214;N3;-1;V;p4
2947;2947;ショウガ;ginger (Zingiber officinale);しょうが;2879;95.21834806;0.00167214;;-1;V;p4
2948;2948;しょっちゅう;always,constantly,frequently,often;しょっちゅう;2879;95.22002020000001;0.00167214;N1;-1;V;p4
2949;2949;すい;Wednesday;すい;2879;95.22169234;0.00167214;;-1;V;p4
2950;2950;ずいぶん;very,extremely,surprisingly,considerably,awfully,terribly;ずいぶん;2879;95.22336448;0.00167214;N3;53;V;p4
2951;2951;すう;to smoke,to breathe in,to inhale;すう;2879;95.22503662;0.00167214;N5;22;V;p4
2952;2952;ストーカー;stalker;ストーカー;2879;95.22670876;0.00167214;;-1;V;p4
2953;2953;すね;shin,shank,lower leg;すね;2879;95.2283809;0.00167214;;-1;V;p4
2954;2954;すら;even,if only,if just,as long as,the only thing needed;すら;2879;95.23005304;0.00167214;;-1;V;p4
2955;2955;せいぜい;at the most,at best,to the utmost,as much (far) as possible;せいぜい;2879;95.23172518;0.00167214;N3;-1;V;p4
2956;2956;せん;1,000,thousand;せん;2879;95.23339732;0.00167214;N5;2;V;p4
2957;2957;センチ;centimeter,centimetre;センチ;2879;95.23506946;0.00167214;N2;-1;V;p4
2958;2958;そういうもの;that's the way it is,such is life;そんなもの;2879;95.2367416;0.00167214;;-1;V;p4
2959;2959;そうしたら;then,and then,and,if so,because then,if that's the case;そうしたら;2879;95.23841374;0.00167214;;-1;V;p4
2960;2960;そうね;Oh well,yeah,good,OK;そうね;2879;95.24008588;0.00167214;;-1;V;p4
2961;2961;その方;that person;そのかた;2879;95.24175802;0.00167214;;-1;V;p4
2962;2962;ソロ;solo;ソロ;2879;95.24343016;0.00167214;N1;-1;V;p4
2963;2963;そんなもの;that's the way it is,such is life;そんなもの;2879;95.2451023;0.00167214;;-1;V;p4
2964;2964;だいぶ;considerably,greatly,a lot;だいぶ;2879;95.24677444;0.00167214;N4;-1;V;p4
2965;2965;タイムサービス;limited-time sale;タイムサービス;2879;95.24844658;0.00167214;;-1;V;p4
2966;2966;たげる;to do for (the sake of someone else);たげる;2879;95.25011872;0.00167214;;-1;V;p4
2967;2967;タダ;ordinary,common,usual;ただ;2879;95.25179086;0.00167214;N3;49;V;p4
2968;2968;ためらう;to hesitate,to waver;ためらう;2879;95.253463;0.00167214;N2;-1;V;p4
2969;2969;ちがう;to differ (from),to vary;ちがう;2879;95.25513514;0.00167214;N5;24;V;p4
2970;2970;ちゅー;nine;チュー;2879;95.25680728;0.00167214;;-1;V;p4
2971;2971;つくる;to make,to produce,to manufacture,to build,to construct;つくる;2879;95.25847942;0.00167214;N2;26;V;p4
2972;2972;でく;wooden figure,wooden doll,puppet;でく;2879;95.26015156;0.00167214;;-1;V;p4
2973;2973;では;then,well,so,well then;では;2879;95.26182370000001;0.00167214;N3;-1;V;p4
2974;2974;デビュー;debut,doing something for the first time;デビュー;2879;95.26349584;0.00167214;;-1;V;p4
2975;2975;てめえ;you;てめえ;2879;95.26516798;0.00167214;;-1;V;p4
2976;2976;テレビ局;television station;テレビきょく;2879;95.26684012;0.00167214;;-1;V;p4
2977;2977;とう;tower,steeple,spire;とう;2879;95.26851226;0.00167214;N3;44;V;p4
2978;2978;どうにも;(not) in any way,in no way,at all;どうにも;2879;95.2701844;0.00167214;;-1;V;p4
2979;2979;とける;to be solved,to be resolved;とける;2879;95.27185654;0.00167214;N3;21;V;p4
2980;2980;どる;dollar;ドル;2879;95.27352868;0.00167214;;-1;V;p4
2981;2981;なお;still,yet;なお;2879;95.27520082;0.00167214;N1;54;V;p4
2982;2982;なくなる;to be lost (e.g. luggage),to be missing;なくなる;2879;95.27687296;0.00167214;N4;-1;V;p4
2983;2983;におい;odour,odor,scent,smell,stench;におい;2879;95.27854509999999;0.00167214;N3;-1;V;p4
2984;2984;により;according to,by (means of),due to,because of;により;2879;95.28021724;0.00167214;;-1;V;p4
2985;2985;ネット;network;ネット;2879;95.28188938;0.00167214;;-1;V;p4
2986;2986;パイ;pie,tart;パイ;2879;95.28356152;0.00167214;;-1;V;p4
2987;2987;バイト代;earnings from a part-time job;バイトだい;2879;95.28523366;0.00167214;;-1;V;p4
2988;2988;バス;bus;バス;2879;95.28690581;0.00167214;N5;-1;V;p4
2989;2989;ばつ;punishment,penalty;ばつ;2879;95.28857795;0.00167214;;22;V;p4
2990;2990;バッチリ;perfectly,right on the mark,spot on,bang on;バッチリ;2879;95.29025009;0.00167214;;-1;V;p4
2991;2991;はや;already,now,by this time;はや;2879;95.29192223;0.00167214;;-1;V;p4
2992;2992;ハンバーグ;Hamburg steak,hamburger steak;ハンバーグ;2879;95.29359437;0.00167214;;-1;V;p4
2993;2993;ぶっ;strongly,violently,quickly,suddenly;ぶっ;2879;95.29526651;0.00167214;;-1;V;p4
2994;2994;ぶら下がる;to hang from,to dangle,to swing;ぶらさがる;2879;95.29693865;0.00167214;;-1;V;p4
2995;2995;プリン;pudding (esp. custard);プリン;2879;95.29861079;0.00167214;;-1;V;p4
2996;2996;プレイヤー;player;プレイヤー;2879;95.30028293;0.00167214;;-1;V;p4
2997;2997;べつに;(not) particularly,(not) especially,(not) specially;べつに;2879;95.30195507;0.00167214;N3;11;V;p4
2998;2998;へる;to decrease (in size or number),to diminish,to abate;へる;2879;95.30362721;0.00167214;N3;19;V;p4
2999;2999;ホ;5th in a sequence denoted by the iroha system,5th note in the diatonic scale (used in key names, etc.);ホ;2879;95.30529935;0.00167214;;-1;V;p4
3000;3000;ほうれんそう;spinach;ほうれんそう;2879;95.30697149;0.00167214;;-1;V;p4
3001;3001;ほぼ;almost,roughly,approximately;ほぼ;2879;95.30864363;0.00167214;N3;-1;V;p4
3002;3002;ほんの少し;just a little;ほんのすこし;2879;95.31031577;0.00167214;;-1;V;p4
3003;3003;まい;counter for flat objects (e.g. sheets of paper);まい;2879;95.31198791;0.00167214;N1;18;V;p4
3004;3004;まさに;exactly,surely,certainly,just;まさに;2879;95.31366005;0.00167214;N3;-1;V;p4
3005;3005;マスコット;mascot;マスコット;2879;95.31533219;0.00167214;;-1;V;p4
3006;3006;ますます;increasingly,more and more,decreasingly (when declining),less and less;ますます;2879;95.31700433;0.00167214;N3;-1;V;p4
3007;3007;まっすぐ;straight (ahead),direct,upright,erect;まっすぐ;2879;95.31867647;0.00167214;N3;-1;V;p4
3008;3008;マトモ;Matmos;マトモス;2879;95.32034861;0.00167214;;-1;V;p4
3009;3009;まなざし;(a) look,gaze;まなざし;2879;95.32202075;0.00167214;;-1;V;p4
3010;3010;ミ;mi,me,3rd note of a major scale in movable-do solfège;ミ;2879;95.32369289;0.00167214;;-1;V;p4
3011;3011;みな;all,everyone,everybody;みんな;2879;95.32536503;0.00167214;N4;-1;V;p4
3012;3012;メソポタミア;Mesopotamia;メソポタミア;2879;95.32703717;0.00167214;;-1;V;p4
3013;3013;メン;man,men;メン;2879;95.32870931;0.00167214;;-1;V;p4
3014;3014;めんどい;troublesome,bothersome;めんどい;2879;95.33038145;0.00167214;;-1;V;p4
3015;3015;もぉ;Name;;2879;95.33205359;0.00167214;;-1;V;p4
3016;3016;もしも;if,in case,supposing;もしも;2879;95.33372573;0.00167214;N3;-1;V;p4
