;Unnamed: 0;Ja;En;Reading;Frequency Rank;Cumulative Freq. Pct.;Frequency Pct.;JLPT Level;WK Level;Item Type;Tags
3447;3447;ほんの;mere,only,just,slight;ほんの;3290;96.00124407;0.00133771;N1;-1;V;p4
3448;3448;マイナス;minus,negative (quantity),subtraction,taking away;マイナス;3290;96.00258178;0.00133771;N2;-1;V;p4
3449;3449;マスター;to master (a skill);マスター;3290;96.0039195;0.00133771;N3;-1;V;p4
3450;3450;マゼラン;Magellan;マゼラン;3290;96.00525721;0.00133771;;-1;V;p4
3451;3451;またまた;again (and again),once again,(there you go) again;またまた;3290;96.00659492;0.00133771;;-1;V;p4
3452;3452;まぶす;to cover (smear, sprinkle) (with);まぶす;3290;96.00793263;0.00133771;;-1;V;p4
3453;3453;まんざら;(not) altogether,(not) wholly;まんざら;3290;96.00927034;0.00133771;;-1;V;p4
3454;3454;ムード;mood;ムード;3290;96.01060806;0.00133771;N1;-1;V;p4
3455;3455;ムッ;to be sullen,to be offended,to be huffy,to be petulant,to be indignant;むっと;3290;96.01194577;0.00133771;;-1;V;p4
3456;3456;メモ;memo,note,memorandum;メモ;3290;96.01328348;0.00133771;N3;-1;V;p4
3457;3457;メンバー;member,participant,attendee,lineup (sport);メンバー;3290;96.01462119;0.00133771;N3;-1;V;p4
3458;3458;もじもじ;bashfully,hesitantly,fidgety,restlessly,squirming,wriggling,haltingly;もじもじ;3290;96.01595891;0.00133771;;-1;V;p4
3459;3459;もたらす;to bring,to take,to bring about;もたらす;3290;96.01729662;0.00133771;N1;-1;V;p4
3460;3460;もどき;-like,pseudo-,mock ...,imitation ...,in the style of ...;もどき;3290;96.01863433;0.00133771;;-1;V;p4
3461;3461;ものすごい;extreme,incredible,staggering;ものすごい;3290;96.01997204;0.00133771;N2;-1;V;p4
3462;3462;ものの;but,although;ものの;3290;96.02130975;0.00133771;;-1;V;p4
3463;3463;やばい;dangerous,risky;やばい;3290;96.02264747;0.00133771;;-1;V;p4
