;Unnamed: 0;Ja;En;Kunyomi;Onyomi;Frequency Rank;Cumulative Freq. Pct.;Frequency Pct.;JLPT Level;WK Level;Item Type;Tags
1374;1374;則;rule,follow,based on,model after;のっとる;そく;1367;99.55709718;0.00169478;;-1;K;p4
1377;1377;卑;lowly,base,vile,vulgar;いやしい;ひ;1367;99.56218152;0.00169478;;-1;K;p4
1378;1378;卓;eminent,table,desk,high;;たく;1367;99.56387629999999;0.00169478;;-1;K;p4
1328;1328;栗;chestnut;くり;りつ;1294;99.45823494;0.00225971;;-1;K;p4
1326;1326;柿;persimmon;かき;し;1294;99.45371553;0.00225971;;-1;K;p4
1325;1325;杖;staff,cane;つえ;じょう;1294;99.45145582;0.00225971;;-1;K;p4
1322;1322;拗;crooked,twisted,distorted,perverted,cross;ねじれる;おう;1294;99.44467669;0.00225971;;-1;K;p4
1259;1259;甲;armor,high (voice),A grade,first class,former,instep,carapace;きのえ;こう;1229;99.28367248;0.00282464;;-1;K;p4
1264;1264;章;badge,chapter,composition,poem,design;;しょう;1229;99.29779565;0.00282464;;-1;K;p4
1275;1275;膝;knee,lap;ひざ;しつ;1229;99.32886664;0.00282464;;-1;K;p4
1278;1278;裕;abundant,rich,fertile;;ゆう;1229;99.33734055;0.00282464;;-1;K;p4
1279;1279;覧;perusal,see;みる;らん;1229;99.34016518;0.00282464;;-1;K;p4
1280;1280;誓;vow,swear,pledge;ちかう;せい;1229;99.34298982;0.00282464;;-1;K;p4
1296;1296;償;reparation,make up for,recompense,redeem;つぐなう;しょう;1294;99.38592428;0.00225971;;-1;K;p4
1301;1301;叩;strike,beat,kow tow,hit,thrash,criticize;たたく;こう;1294;99.39722282;0.00225971;;-1;K;p4
1077;1077;那;what?;なに;な;1034;98.59220175;0.00508434;;-1;K;p4
1304;1304;噌;boisterous;かまびすしい;そう;1294;99.40400194;0.00225971;;-1;K;p4
1306;1306;塞;close,shut,cover,block,obstruct;ふさぐ;そく;1294;99.40852136;0.00225971;;-1;K;p4
1307;1307;嬢;lass,girl,Miss,daughter;むすめ;じょう;1294;99.41078107;0.00225971;;-1;K;p4
1311;1311;巳;sign of the snake or serpent,9-11AM,sixth sign of Chinese zodiac;み;し;1294;99.41981990000001;0.00225971;;-1;K;p4
1313;1313;序;preface,beginning,order,precedence,occasion,chance,incidentally;ついで;じょ;1294;99.42433932;0.00225971;;-1;K;p4
1315;1315;恒;constancy,always;つね;こう;1294;99.42885873;0.00225971;;-1;K;p4
1317;1317;惚;fall in love with,admire,grow senile;ほける;こつ;1294;99.43337815;0.00225971;;-1;K;p4
1319;1319;惹;attract,captivate;ひく;じゃく;1294;99.43789757;0.00225971;;-1;K;p4
1321;1321;披;expose,open;;ひ;1294;99.44241698;0.00225971;;-1;K;p4
1305;1305;域;range,region,limits,stage,level;;いき;1294;99.40626165;0.00225971;;-1;K;p4
1381;1381;吊;suspend,hang,wear (sword);つる;ちょう;1367;99.56896065;0.00169478;;-1;K;p4
1071;1071;藤;wisteria;ふじ;とう;1034;98.56169569;0.00508434;;-1;K;p4
1064;1064;益;benefit,gain,profit,advantage;ます;えき;1034;98.52610528;0.00508434;;-1;K;p4
650;650;慢;ridicule,laziness;;まん;646;94.75804174;0.01525303;;-1;K;p4
657;657;酒;sake,alcohol;さけ;しゅ;646;94.86481295;0.01525303;;-1;K;p4
658;658;魔;witch,demon,evil spirit;;ま;646;94.88006598;0.01525303;;-1;K;p4
