262	物	126	135	0,14801089	68,68157321
262	犯	126	135	0,14801089	68,82958410
262	黒	126	135	0,14801089	68,97759499
260	高	127	139	0,14688104	69,12447603
259	度	128	140	0,14631611	69,27079214
258	好	129	141	0,14575118	69,41654332
255	理	130	142	0,14405640	69,56059973
254	雨	131	143	0,14349148	69,70409120
253	別	132	144	0,14292655	69,84701775
251	付	133	145	0,14179669	69,98881444
251	木	133	145	0,14179669	70,13061114
250	南	134	147	0,14123177	70,27184291
242	仲	135	148	0,13671235	70,40855526
241	張	136	149	0,13614742	70,54470268
241	死	136	149	0,13614742	70,68085010
240	強	137	151	0,13558250	70,81643260
239	早	138	152	0,13501757	70,95145017
236	確	139	153	0,13332279	71,08477296
231	休	140	154	0,13049815	71,21527111
229	所	141	155	0,12936830	71,34463941
228	終	142	156	0,12880337	71,47344278
227	下	143	157	0,12823844	71,60168122
225	悪	144	158	0,12710859	71,72878981
225	界	144	158	0,12710859	71,85589840
223	柏	145	160	0,12597874	71,98187714
223	様	145	160	0,12597874	72,10785588
223	決	145	160	0,12597874	72,23383461
222	仕	146	163	0,12541381	72,35924842
221	父	147	164	0,12484888	72,48409730
221	良	147	164	0,12484888	72,60894619
219	同	148	166	0,12371903	72,73266521
219	戻	148	166	0,12371903	72,85638424
218	取	149	168	0,12315410	72,97953834
216	向	150	169	0,12202425	73,10156259
216	金	150	169	0,12202425	73,22358683
215	込	151	171	0,12145932	73,34504615
210	回	152	172	0,11863468	73,46368084
208	居	153	173	0,11750483	73,58118567
207	作	154	174	0,11693990	73,69812557
204	解	155	175	0,11524512	73,81337069
203	神	156	176	0,11468019	73,92805089
202	典	157	177	0,11411527	74,04216616
200	近	158	178	0,11298541	74,15515157
199	殺	159	179	0,11242049	74,26757206
198	男	160	180	0,11185556	74,37942762
197	嬉	161	181	0,11129063	74,49071825
195	美	162	182	0,11016078	74,60087903
194	屋	163	183	0,10959585	74,71047488
194	然	163	183	0,10959585	74,82007073
193	外	164	185	0,10903092	74,92910165
193	活	164	185	0,10903092	75,03813258
192	色	165	187	0,10846600	75,14659857
190	不	166	188	0,10733614	75,25393472
190	室	166	188	0,10733614	75,36127086
189	映	167	190	0,10677122	75,46804208
189	買	167	190	0,10677122	75,57481329
189	関	167	190	0,10677122	75,68158451
189	面	167	190	0,10677122	75,78835572
186	町	168	194	0,10507643	75,89343216
185	元	169	195	0,10451151	75,99794367
183	教	170	196	0,10338165	76,10132532
183	特	170	196	0,10338165	76,20470697
182	警	171	198	0,10281673	76,30752370
180	山	172	199	0,10168687	76,40921057
179	伝	173	200	0,10112195	76,51033252
175	番	174	201	0,09886224	76,60919475
172	配	175	202	0,09716746	76,70636221
172	野	175	202	0,09716746	76,80352966
171	夫	176	204	0,09660253	76,90013219
171	病	176	204	0,09660253	76,99673472
166	連	177	206	0,09377789	77,09051261
166	頼	177	206	0,09377789	77,18429051
165	切	178	208	0,09321297	77,27750347
162	店	179	209	0,09151819	77,36902166
161	情	180	210	0,09095326	77,45997492
161	深	180	210	0,09095326	77,55092818
160	察	181	212	0,09038833	77,64131651
159	初	182	213	0,08982340	77,73113991
159	探	182	213	0,08982340	77,82096331
158	母	183	215	0,08925848	77,91022179
156	優	184	216	0,08812862	77,99835041
156	欲	184	216	0,08812862	78,08647904
152	君	185	218	0,08586891	78,17234795
151	可	186	219	0,08530399	78,25765194
151	着	186	219	0,08530399	78,34295592
150	親	187	221	0,08473906	78,42769498
149	愛	188	222	0,08417413	78,51186912
147	次	189	223	0,08304428	78,59491340
145	以	190	224	0,08191442	78,67682782
145	書	190	224	0,08191442	78,75874225
145	頑	190	224	0,08191442	78,84065667
143	貴	191	227	0,08078457	78,92144124
142	係	192	228	0,08021964	79,00166089
142	備	192	228	0,08021964	79,08188053
142	諸	192	228	0,08021964	79,16210017
141	保	193	231	0,07965472	79,24175489
141	助	193	231	0,07965472	79,32140961
141	岡	193	231	0,07965472	79,40106432
140	報	194	234	0,07908979	79,48015411
139	丈	195	235	0,07852486	79,55867897
139	信	195	235	0,07852486	79,63720384
139	必	195	235	0,07852486	79,71572870
139	性	195	235	0,07852486	79,79425356
139	文	195	235	0,07852486	79,87277842
138	相	196	240	0,07795994	79,95073836
137	名	197	241	0,07739501	80,02813337
137	現	197	241	0,07739501	80,10552838
