;Unnamed: 0;Ja;En;Reading;Frequency Rank;Cumulative Freq. Pct.;Frequency Pct.;JLPT Level;WK Level;Item Type;Tags
798;798;山;mountain,hill;やま;791;86.34597248;0.010701700000000001;N5;1;V;p4
665;665;口;mouth;くち;658;84.75911149;0.01337712;N5;1;V;p4
1722;1722;ひと;man,person;ひと;1687;92.05666549;0.00367871;N5;1;V;p4
474;474;女;female,woman,female sex;おんな;471;81.58271408;0.02140339;N5;1;V;p4
5121;5121;はいる;to enter,to go into;はいる;4736;97.69077447;0.00066886;N5;1;V;p4
158;158;二;two;に;159;68.40491208;0.09129885;N5;1;V;p4
673;673;下;below,down,under,younger (e.g. daughter);した;670;84.86445632;0.01304269;N5;1;V;p4
88;88;上;above,up,over,elder (e.g. daughter);うえ;89;59.50043141;0.17958785;N5;1;V;p4
6985;6985;さげる;to hang,to suspend,to wear (e.g. decoration);さげる;6483;98.76897043;0.00033443;N4;1;V;p4
2229;2229;大きい;big,large,great;おおきい;2125;93.65322489;0.00267542;N5;1;V;p4
3062;3062;入口;entrance,entry,gate,approach,mouth;いりぐち;2879;95.41064418;0.00167214;N1;1;V;p4
1464;1464;大した;considerable,great,important,significant,a big deal;たいした;1421;90.98515808;0.00468199;N3;1;V;p4
4;4;に;two;に;5;14.76767285;2.56907611;N5;1;V;p4
480;480;三;three;さん;480;81.70879345;0.02073454;N1;1;V;p4
2405;2405;下げる;to hang,to suspend,to wear (e.g. decoration);さげる;2330;94.09834859;0.002341;N4;1;V;p4
111;111;一;one;いち;112;63.13934278;0.14012534;N5;1;V;p4
1038;1038;ひとつ;one;ひとつ;1027;88.47928887;0.00735742;N5;1;V;p4
1524;1524;一つ;one;ひとつ;1504;91.25872021;0.00434756;N5;1;V;p4
2879;2879;２つ;two;ふたつ;2879;95.10464253;0.00167214;N5;1;V;p4
2880;2880;３つ;three;みっつ;2879;95.10631467;0.00167214;N5;1;V;p4
395;395;十;ten;じゅう;395;79.68483503;0.02675424;N3;1;V;p4
5158;5158;ヒト;man,person;ひと;4736;97.71552214;0.00066886;N5;1;V;p4
2883;2883;７つ;seven;ななつ;2879;95.11133109;0.00167214;N5;1;V;p4
58;58;人;man,person;ひと;59;53.073728;0.27423098;N5;1;V;p4
7191;7191;たいした;considerable,great,important,significant,a big deal;たいした;6483;98.8378626;0.00033443;N3;1;V;p4
3893;3893;いれる;to put in,to let in,to take in,to bring in,to insert,to install (e.g. software),to set (a jewel, etc.),to ink in (e.g. tattoo);いれる;3866;96.58816526;0.00100328;N5;1;V;p4
123;123;さん;three;さん;124;64.71148894;0.12139737;N1;1;V;p4
5171;5171;ふたり;two persons,two people,pair,couple;ふたり;4736;97.72421727;0.00066886;N1;1;V;p4
208;208;入る;to enter,to go into;はいる;209;72.16321425;0.06253804;N5;1;V;p4
7613;7613;ふたつ;two;ふたつ;6483;98.97899123;0.00033443;N5;1;V;p4
1361;1361;１つ;one;ひとつ;1362;90.48351604;0.00501642;N5;1;V;p4
903;903;大人;adult;おとな;890;87.37601081;0.00902956;N5;1;V;p4
202;202;入れる;to put in,to let in,to take in,to bring in,to insert,to install (e.g. software),to set (a jewel, etc.),to ink in (e.g. tattoo);いれる;203;71.78363844;0.06387575;N5;1;V;p4
6674;6674;おとな;adult;おとな;6483;98.66496331;0.00033443;N5;1;V;p4
3310;3310;うえ;above,up,over,elder (e.g. daughter);うえ;3290;95.81797751;0.00133771;N5;1;V;p4
347;347;八;eight;はち;347;78.26752905;0.03177066;N5;1;V;p4
2404;2404;下がる;to come down,to go down,to fall,to drop,to sink,to get lower;さがる;2330;94.0960076;0.002341;N4;1;V;p4
200;200;力;force,strength,might,vigour (vigor),energy;ちから;199;71.65555251;0.06487904;N4;1;V;p4
1097;1097;火;fire,flame,blaze;ひ;1069;88.90334361;0.00702299;N4;2;V;p4
1222;1222;月;moon;つき;1190;89.70764302;0.006019699999999999;N3;2;V;p4
206;206;千;1,000,thousand;せん;206;72.03780374;0.0632069;N5;2;V;p4
1459;1459;出せる;to leave,to exit,to go out,to come out,to get out;でる;1421;90.96174812;0.00468199;N5;2;V;p4
1213;1213;左;left,left hand side;ひだり;1190;89.65346568;0.006019699999999999;N5;2;V;p4
314;314;ご;five;ご;314;77.12779833;0.03678708;N5;2;V;p4
2566;2566;陽;day,days;ひ;2330;94.47524898;0.002341;N4;2;V;p4
8715;8715;女王;queen;じょおう;6483;99.34753092;0.00033443;N3;2;V;p4
6648;6648;えん;yen,Japanese monetary unit;えん;6483;98.65626818;0.00033443;N3;2;V;p4
1322;1322;ほん;book,volume,script;ほん;1303;90.27516738;0.00535085;N5;2;V;p4
2334;2334;いぬ;dog (Canis (lupus) familiaris);いぬ;2330;93.93213786;0.002341;N5;2;V;p4
3197;3197;犬;dog (Canis (lupus) familiaris);いぬ;2879;95.63638309;0.00167214;N5;2;V;p4
386;386;でる;to leave,to exit,to go out,to come out,to get out;でる;387;79.43735829;0.02809195;N5;2;V;p4
163;163;目;eye,eyeball;め;164;68.85371449;0.08862343;N5;2;V;p4
5223;5223;まるい;round,circular,spherical;まるい;4736;97.75899779;0.00066886;N3;2;V;p4
1135;1135;王子;prince;おうじ;1110;89.16118762;0.00668856;N3;2;V;p4
1280;1280;木;tree,shrub,bush;き;1242;90.04340876;0.00568528;N5;2;V;p4
227;227;子;child;こ;227;73.27786287;0.05417734;N4;2;V;p4
251;251;手;hand,arm;て;250;74.50019731;0.04815764;N5;2;V;p4
1572;1572;４月;April;しがつ;1573;91.46706887;0.00401314;;2;V;p4
7654;7654;ヘタ;unskillful,poor,awkward;へた;6483;98.99270278;0.00033443;N5;2;V;p4
4162;4162;五;five;ご;3866;96.85804868;0.00100328;N5;2;V;p4
2439;2439;土;earth,soil,dirt,clay,mud;つち;2330;94.17794247;0.002341;N3;2;V;p4
4158;4158;丸い;round,circular,spherical;まるい;3866;96.85403554;0.00100328;N3;2;V;p4
429;429;こ;child;こ;430;80.55568561;0.02441325;N4;2;V;p4
4557;4557;眼;eye,eyeball;め;3866;97.25434589;0.00100328;N5;2;V;p4
225;225;出す;to take out,to get out;だす;225;73.16950819;0.05518062;N5;2;V;p4
1348;1348;立てる;to stand up,to put up,to set up,to erect,to raise;たてる;1303;90.41428944;0.00535085;N4;2;V;p4
1450;1450;下手;unskillful,poor,awkward;へた;1421;90.91961019;0.00468199;N5;2;V;p4
9686;9686;玉ねぎ;onion (Allium cepa);たまねぎ;6483;99.67226053;0.00033443;;2;V;p4
2882;2882;５月;May;ごがつ;2879;95.10965895;0.00167214;;2;V;p4
7218;7218;ただしい;right,correct;ただしい;6483;98.84689216;0.00033443;N4;2;V;p4
